time,block,exercise
8.7,morning,pushups
9,morning,pushups
8.6,morning,pushups
8.5,morning,pushups
8.3,morning,pushups
8.9,morning,pushups
8.6,morning,pushups
8.6,morning,pushups
8.7,morning,pushups
8.7,afternoon,pushups
8.6,afternoon,pushups
8.3,afternoon,pushups
8.2,afternoon,pushups
8.6,afternoon,pushups
8.5,afternoon,pushups
8.6,afternoon,pushups
8.3,afternoon,pushups
7.8,afternoon,pushups
8.7,evening,pushups
9.2,evening,pushups
8.6,evening,pushups
8.2,evening,pushups
8.5,evening,pushups
8.5,evening,pushups
8.7,evening,pushups
9,evening,pushups
8.8,evening,pushups
14.2,morning,situps
15.3,morning,situps
13.7,morning,situps
13.4,morning,situps
14.5,morning,situps
12.6,morning,situps
14.7,morning,situps
13,morning,situps
13.6,morning,situps
14,afternoon,situps
13.7,afternoon,situps
12.5,afternoon,situps
12.4,afternoon,situps
12.4,afternoon,situps
12.4,afternoon,situps
13.4,afternoon,situps
12.9,afternoon,situps
13.1,afternoon,situps
14.6,evening,situps
12.7,evening,situps
13,evening,situps
13.2,evening,situps
13.7,evening,situps
13.2,evening,situps
12.6,evening,situps
13.7,evening,situps
13.9,evening,situps
11,morning,squats
11.8,morning,squats
10,morning,squats
10.2,morning,squats
10.5,morning,squats
10,morning,squats
9.7,morning,squats
9.4,morning,squats
10,morning,squats
10.9,afternoon,squats
10.9,afternoon,squats
9.2,afternoon,squats
9.6,afternoon,squats
8.9,afternoon,squats
9,afternoon,squats
8.6,afternoon,squats
9.2,afternoon,squats
9.3,afternoon,squats
10.9,evening,squats
11,evening,squats
9.4,evening,squats
9.3,evening,squats
10,evening,squats
9.7,evening,squats
8.8,evening,squats
8.7,evening,squats
9.6,evening,squats
